opener,github.com/superbrothers/opener,5.5,7,8,-1,0,10,-1,10,10,10,0,10,0,0,0,0,7
os-homedir,github.com/sindresorhus/os-homedir,5.5,0,-1,0,0,-1,10,0,10,-1,10,10,0,10,10,10,0
os-tmpdir,github.com/sindresorhus/os-tmpdir,5.5,0,0,-1,0,10,0,10,10,-1,10,10,10,10,-1,0,0
osenv,github.com/isaacs/osenv,5.2,0,0,-1,0,10,10,-1,0,10,10,10,10,-1,0,-1,0
pango,github.com/pandafw/pango,5.6,0,10,-1,0,10,-1,0,10,10,10,0,-1,7,10,0,0
path-array,github.com/TooTallNate/path-array,4.8,-1,0,0,0,10,-1,0,10,10,0,10,10,10,-1,0,0
path-is-absolute,github.com/sindresorhus/path-is-absolute,5.5,0,0,-1,0,-1,-1,10,10,0,10,10,10,10,10,0,0
path-is-inside,github.com/domenic/path-is-inside,4.8,0,-1,0,0,10,-1,0,10,-1,10,10,10,10,0,0,0
pcre,github.com/desertnet/pcre,4.8,0,0,-1,0,10,-1,0,0,-1,10,10,10,10,10,0,0
pinkie,github.com/inabagumi/pinkie,6.8,10,-1,10,0,10,10,0,10,10,5,0,10,10,0,3,10
pinkie-promise,github.com/floatdrop/pinkie-promise,4.8,0,-1,0,0,-1,10,0,0,10,10,10,-1,10,10,0,0
pkgconf,github.com/pkgconf/pkgconf,4.7,10,0,-1,0,10,0,-1,0,10,10,7,10,-1,0,0,0
pkgconfig,github.com/matze/pkgconfig,5.2,-1,0,4,0,10,-1,0,10,-1,10,10,0,10,10,0,0
plantuml,github.com/plantuml/plantuml,6.8,-1,3,10,0,10,10,10,0,-1,10,10,10,9,9,0,0
power_assert,github.com/k-tsj/power_assert,4.8,-1,0,0,0,10,0,-1,10,10,10,10,10,0,-1,0,0
process-nextick-args,github.com/calvinmetcalf/process-nextick-args,4.9,0,-1,1,0,-1,10,0,0,10,10,-1,10,10,10,0,0
promzard,github.com/isaacs/promzard,4.8,-1,0,0,0,10,-1,-1,0,10,10,10,10,10,0,0,0
proto-list,github.com/isaacs/proto-list,3.9,0,0,-1,0,10,-1,0,0,10,0,10,10,-1,9,0,0
pseudomap,github.com/isaacs/pseudomap,3.9,0,0,-1,0,10,-1,0,0,0,10,10,10,-1,9,0,0
psych,github.com/ruby/psych,5.8,4,9,-1,0,10,-1,0,10,-1,0,10,10,10,7,0,0
python,github.com/exercism/python,7.2,-1,10,10,0,10,-1,8,10,10,10,-1,0,7,10,0,0
qs,github.com/koajs/qs,5.5,1,0,-1,0,-1,10,10,10,-1,10,0,10,10,0,10,0
rake,github.com/paketo-buildpacks/rake,7.2,-1,10,10,0,10,10,10,0,10,10,-1,7,0,8,10,0
read,github.com/ChristopherDavenport/read,5.3,-1,0,5,0,10,-1,0,10,10,-1,0,10,10,10,0,0
read-installed,github.com/isaacs/read-installed,4.8,0,-1,0,0,10,10,10,10,0,-1,10,10,0,-1,0,0
read-package-json,github.com/isaacs/read-package-json,6.2,2,-1,8,0,10,10,10,10,-1,0,10,10,7,-1,0,0
