name, starcount, description, official
sdesbure/domoticz, 18, Latest Domoticz git release, 
cpr1c/repositoryserver1c, 2, Сервер хранилища 1С, 
ciscocloud/mesos-consul, 13, , 
cpuguy83/ipsec, 6, , 
dmtc/frp-web, 2, frpc穿透+frps开服 面板管理端口65432, 
pointcloudlibrary/env, 3, Build dependencies for https://github.com/Po…, 
spotify/alpine, 12, Alpine image with `bash` and `curl`., 
bitnami/nginx-ldap-auth-daemon, 3, , 
myyk/docker-squash, 7, This is a dockerized version of https://gith…, 
neptunesoftware/planet9, 5, Docker images for Neptune DXP - Open Edition…, 
xdrum/lemp, 2, nginx, php5-fpm, mysql (centos based), 
nuage/vnsportal-bootstrap, 2, , 
tekn0ir/nginx-stream, 6, Nginx with support for non http protocols. , 
beget/sprutio-nginx, 2, Beget File Manager Nginx, 
ymiroshnyk/avreg, 2, AVReg server, 
ansibleplaybookbundle/s2i-apb, 2, S2I builder image for Ansible-Playbook-Bundle, 
holomekc/wiremock-gui, 12, Wiremock with gui, 
xxlabaza/server_jre, 2, Custom server JRE Alpine based Docker image, 
cgicloudnative/concourse-alpine, 2, , 
cgspeck/docker-rdp-calibre, 9, Fork of aptalca/docker-rdp-calibre with fixe…, 
grubykarol/elk-docker, 8, elk docker image (derived from spujadas/elk-…, 
tleyden5iwx/couchbase-cluster-go, 2, , 
woahbase/alpine-s6, 6, Alpine Linux Base + S6 Init System., 
dynatrace/oneagent, 22, Dynatrace OneAgent, 
xbapps/xbvr, 7, , 
unwenliu/verysync, 9, 微力同步, 
bfosberry/teamspeak, 2, , 
soajsorg/soajs, 3, This is the official soajs image to build se…, 
5minds/bpmn-studio-bundle, 2, Dieses Projekt beinhaltet BPMN-Studio mit We…, 
wnxd/docker-shadowsocks-kcp, 2, alpine:3.8 + shadowsocks:3.2.0 + kcptun:2018…, 
kurochan/vyos, 7, vyOS for Docker, 
vaddio/yocto, 2, Yocto build container for VNG, 
eedev/wallabag, 3, Unofficial linux/arm64 build for wallabag. , 
digitalgenius/alpine-jdk, 3, , 
amazon/aws-lambda-java, 5, AWS Lambda base images for Java, 
dwreappsec/diva_ctf, 2, Demandware Intentionally Vulnerable WebApp i…, 
ruibaby/halo, 23, An excellent open source blog publishing app…, 
smebberson/alpine-consul-nodejs, 4, An Alpine Linux base image, featuring s6, Co…, 
xyonetwork/sdk-archivist-nodejs, 2, A docker image to run archivists on the xyo …, 
itflex/mattermost, 2, Mattermost is an open source, self-hosted Sl…, 
balenalib/rpi-alpine, 5, This image is part of the balena.io base ima…, 
tgeorgiev/admiral-icons, 2, A data container bundling the icons for cust…, 
dustynv/jetson-inference, 8, Hello AI World container for NVIDIA Jetson -…, 
brndnmtthws/optimal-buy-gdax, 2, Scheduled buying of BTC, ETH, and LTC from G…, 
dmgnx/nginx-naxsi, 8, Alpine-based nginx image with naxsi web appl…, 
gcusnieux/oracle11g, 24, docker-oracle11g, 
pablocouto/coreos-sshguard, 4, sshguard for CoreOS, 
escalope/pandoc-mermaid-plantuml, 3, A docker container for pandoc including merm…, 
openstf/stf, 70, , 
juanluisbaptiste/otrs, 53, ((OTRS)) Community Edition Help Desk Software, 
esphome/esphome-armv7, 3, , 
ubuntu/cassandra, 2, Cassandra, an open source NoSQL distributed …, 
phlak/transmission, 3, Docker image for Transmission Daemon., 
bitnami/nats, 6, , 
csbain/deepspeech-knime-server, 2, Deepspeech flask server for use within knime…, 
sumitchawla/vertica, 17, Vertica Community Edition 7.1.1, 
roemer/ut99-server, 4, , 
xrsec/dbj, 3, 大宝剑-边界资产梳理工具（红队、蓝队、企业组…, 
turbonomic/vmt-component-base, 2, , 
pygmy/alpine-tini, 4, Tiny Linux distro (Alpine) + Tiny init (tini…, 
tutum/ubuntu, 28, Simple Ubuntu docker images with SSH access, 
tumblr/k8s-sidecar-injector, 4, Kubernetes sidecar injector. https://github.…, 
morosawamikihito/nvm, 2, nvm docker image with a Node.js installed an…, 
fjudith/waarp-r66, 2, Waarp R66 file transfer gateway & monitoring…, 
edgexfoundry/docker-support-rulesengine, 2, ARCHIVED! The legacy rules engine service fo…, 
sadeghrz/kubernetes-pod2pod-log, 4, Lightweight sidecar to log pod to pod HTTP t…, 
calico/ctl, 3, Container for calicoctl binary, 
alreece45/phusion-nginx-php, 4, nginx and php-fpm with configurable document…, 
atmoz/sftp, 433, Easy to use SFTP server, 
cethy/alpine-supercronic, 2, docker image based on alpine3.6 ; run superc…, 
p3terx/yacd, 4, yacd | Yet Another Clash Dashboard, 
mch1307/rancher-traefik, 2, traefik (alpine) image for deploying to ranc…, 
ccarney16/pterodactyl-panel, 39, Pterodactyl, a free an open source agnostic …, 
tianon/exim4, 17, , 
idoop/docker-nuget-server, 5, Simple nuget server and easy to use .(Image …, 
aapocketz/hs100-smartthings-bridge, 2, acts as a bridge between smartthings and tp-…, 
jyhking/onecloud, 4, 玩客云（S805） Docker版OpenWRT固件 , 
adi90x/rancher-active-proxy, 11, All in one active reverse proxy for Rancher !, 
apache/pegasus, 2, Apache Pegasus (incubating), 
mhart/alpine-node-auto, 46, Automated build of mhart/alpine-node – autom…, 
fffonion/xunlei-fastdick, 6, Xunlei-Fastdick, 
tprasadtp/protonvpn, 7, MIGRATE TO GITHUB CONTAINER REGISTRY IMAGE t…, 
mitchtalmadge/amp-dockerized, 6, CubeCoders AMP in a Docker Image. Manage ser…, 
scpomedialab/hyphe_frontend, 2,  Websites crawler with built-in exploration …, 
segator/xpenology, 10, , 
ssfdust/psql_jieba_swsc, 2, , 
adhocore/phpfpm, 7, Docker PHP FPM on top alpine with 84 cool an…, 
otbiot/mosquitto-clients, 2, , 
peopleperhour/elastalert, 2, Elastalert as a docker container, 
nakla/sbfspot, 3, Supports csv, sqlite, mysql, mariadb, MQTT, …, 
poma/docker-telegram-notifier, 7, Telegram notifier for Docker events , 
fhriley/letsencrypt-wildcard, 2, Automatically obtain/renew letsencrypt wildc…, 
hauptmedia/mariadb, 6, , 
smebberson/alpine-nginx-nodejs, 9, Alpine Linux, s6 process management running …, 
dougbtv/asterisk13, 8, , 
faradaysec/faraday, 2, Official Faraday Docker Images: https://www.…, 
hlebalbau/kafka-manager, 89, CMAK (previous known as Kafka Manager) As Do…, 
m986883511/extract_subtitles, 3, API接口，文字识别，提取声音中人声, 
beevelop/ionic, 92, Latest Ionic based on the latest Cordova, th…, 
maorfr/kube-tasks, 2, A tool to perform simple Kubernetes related …, 
pegasyseng/pantheon, 3, Pantheon is an Apache 2.0 licensed, MainNet …, 
aciobanu/dnsmasq, 3, Docker image providing dnsmasq service that …, 
land007/dzzoffice, 2, dzzoffice, 
dperson/samba, 557, , 
jro7/flutter_lcov, 2, Flutter image with code coverage, 
xanderhendriks/stm32cubeide, 2, STM32 Cube IDE, 
frvi/drone-wall, 2, https://github.com/frvi/dockerfile-dronewall, 
utensils/darling, 2, Experimental docker container with Darling f…, 
apache/metamodel-membrane, 3, Data Federation as a RESTful service, based …, 
gotify/server, 50, a simple server for sending and receiving me…, 
zcalusic/vpnc, 2, Run vpnc VPN client in a Docker container, 
lizhenliang/kubernetes-dashboard-amd64, 6, , 
ibmcom/k8s-kubectl, 3, , 
jakewharton/gphotos-sync, 8, , 
lune/prerender, 10, Docker image for prerender, 
jbfavre/vertica, 25, Images collection for HP Vertica, 
feelpp/feelpp-env, 3, Images providing Feel++ runtime and programm…, 
tw350/test, 2, , 
njohnson/docker-forward, 2, Docker image to expose a port of an already …, 
ceshine/py2-datascience-toolbox, 4, (No longer maintained), 
klutchell/dnscrypt-proxy, 11, , 
eeacms/plone-wise, 4, WISE Plone Image (based on EEA KGS), 
linuxserver/calibre-web, 590, A Calibre-Web container, brought to you by L…, 
bitnami/rails, 28, Bitnami Ruby on Rails Docker Image , 
ekofr/pihole-exporter, 9, A Prometheus exporter for PI-Hole's Raspberr…, 
ypereirareis/php7cc, 9, Run php7cc from a docker container, 
caapm/openshiftmonitor, 7, CA APM Openshift Monitoring, 
gns3/network_automation, 12, This appliance contains the following networ…, 
kmlucy/docker-qbittorrent, 2, Container for qBittorrent with VPN, 
mozgiii/docker-grpcwebproxy, 2, grpcwebproxy in docker, 
giovtorres/docker-centos7-slurm, 5, Slurm all-in-one on CentOS 7, 
dbarton/utorrent, 7, utorrent server., 
dveeden/mysqlcluster72, 4, Base image for MySQL Cluster 7.2 (NDB Cluste…, 
seriyps/mtproto-proxy, 17, Erlang Telegram mtproto proxy, 
ourtownrentals/git-deploy, 4, Local https server for triggered git deploys., 
luzifer/nginx-sso, 2, , 
killbill/mariadb, 2, , 
b3ckontwitch/sls-b3ck-edit, 3, Based off of Matt's SRT-Live-Server, but wit…, 
gists/pure-ftpd, 15, Pure-FTPd is a free (BSD), secure, productio…, 
v2tec/watchtower, 413, Watches your containers and automatically re…, 
gmacario/build-yocto, 25, , 
fpin/docker-hive-spark, 2, Hive Metastore + Spark Thriftserver preconfi…, 
sendgridlabs/loggly-docker, 16, Docker container for loggly (via rsyslog), 
quchaonet/polr, 4, [Polr] 项目:Cydrobolt/Polr镜像定期同步更新代…, 
trinodb/trino, 39, Official image for Trino (formerly PrestoSQL…, 
blacktop/nsrl, 4, NSRL Database Hash Search, 
mirantis/k8s-netchecker-agent, 2, Basic network checker agent to check DNS and…, 
bkjaya1952/smathstudio-pre-installed-docker-new, 2, A docker image installed with Stable SMathSt…, 
jaegertracing/jaeger-operator, 3, The Jaeger Operator for Kubernetes, 
keopx/apache-php, 6, Debian 10 Buster based Apache 2.4 and PHP 7.…, 
shvilime/usbhasp, 3, USB HASP emulator daemon, 
gerardojunior/nuxtjs, 7, Environment of nuxt.js project , 
acrobinson/passenger_ruby2.3.0, 2, Phusion Passenger in Nginx, Ruby  2.3.0, Ima…, 
zhaojun1998/zfile, 18, , 
kobotoolbox/enketo_express, 3, https://github.com/kobotoolbox/enketo-express, 
ks32/crosswalk-build-tools, 2, crosswalk-build-tools built on top of offici…, 
nebulouslabs/sia, 6, Decentralized storage for the post-cloud wor…, 
kolide/fleet, 7, Effective Endpoint Security. At Any Scale., 
wiretrustee/wiretrustee, 2, , 
sepia/home, 2, SEPIA-Home Server for SEPIA Open Assistant F…, 
jimiucb1/i526-aml, 2, Machine learning using Python, Numpy, SKLear…, 
mscottblake/margarita, 4, A Docker container for running Margarita, a …, 
nats-streaming, 150, DEPRECATED; An open-source, high-performance…, [OK]
vyolin/alpine-maven, 5, , 
zzh1996/ctf_ubuntu_1804, 2, , 
lofaruser/imaging-pipeline, 2, A unified docker image containing the LOFAR …, 
pedrocesarti/jmeter-docker, 7, Apache Jmeter™ is an open source tool that h…, 
vimagick/obfsproxy, 10, , 
jracine/python37-geckodriver, 2, Python Selenium with Geckdriver pre-installe…, 
bondesen/airvideohd, 3, fork of dmaxwell/airvideohd edited for use w…, 
rackspacedot/python37, 16, , 
euskadi31/gentoo-portage, 2, Gentoo portage, 
jsenon/toolingcontainer, 2, A simple container with tools, 
sctx/overseerr, 41, Request management and media discovery tool …, 
ugeek/kodexplorer, 9, Kodexplorer for Raspberry Pi, ARM and amd64, 
duzhe/python2, 2, python2 without any unnecessary (about 65M);…, 
pschmitt/unmark, 4, Docker container for unmark, 
twalter/openshift-nginx, 10, NGINX image which works on openshift, 
tillsteinbach/vwsfriend, 2, VWsFriend Software. See: https://github.com/…, 
bukuserver/bukuserver, 2, , 
2stacks/vyos, 24, VyOS Docker Image, 
awalach/openvpn, 3, ., 
tinygo/tinygo, 3, Go compiler for small places. Microcontrolle…, 
veivaa/odoo, 8, Odoo version 15, 14 and 13 containers update…, 
v4tech/markdown-editor, 3, This is jbt's Markdown Editor packaged up in…, 
funkypenguin/traefik-forward-auth, 4, Provides forward auth for Traefik from any O…, 
linuxserver/netbootxyz, 84, , 
gpmidi/centos-5.6, 5, CentOS 5.6 base Docker image. Intended for u…, 
openenergymonitor/emoncms, 8, Open web-app for processing, logging and vis…, 
aysun168/iptv-m3u-maker, 2, , 
jitesoft/composer, 5, PHP and Composer on alpine linux., 
dsferruzza/php-node-build, 5, A Debian image with tools to build PHP, JS a…, 
oldiy/music-player-docker, 181, 在线音乐播放器，支持下载，基于Meting——支持群…, 
whenlambomoon/secnodetracker, 2, Secnodetracker Docker, 
buhuipao/centos7-lnmp, 2, Base on centos7， build lnmp environment for…, 
rcsa/python3-hdf5, 3, Python 3.5 with HDF5, PyTables, Pandas and N…, 
yusufhm/alpine-blt-builder, 2, PHP CLI & composer based off Alpine, optimis…, 
wubin/lnmp_v1, 4, Centos6 Nginx_1.6 PHP_v5.3 MySQL_v5.5, 
rancher/drone, 2, , 
ryanj/gist-reveal, 2, Gist-powered presentations with Reveal.js te…, 
lc13579443/gopub, 3, gopub 运维发布系统 https://www.oschina.net/p…, 
jribar/node-phantomjs, 3, node:latest with PhantomJS 2.1.1, 
launchdarkly/ld-relay, 3, The Official LaunchDarkly Relay docker image…, 
dtagdevsec/suricata, 24, suricata, 
appdynamics/machine-agent-analytics, 5, Machine Agent with Analytics support for Kub…, 
hectormolinero/sftp, 2, A Docker image with an OpenSSH server config…, 
verglsm/jd_scripts, 2, jd_scripts备份，基于alpine3.12.7 构建，nodej…, 
mikenye/radarbox, 3, AirNav RadarBox rbfeeder, multi-architecture…, 
m0elnx/alpine-x86, 3, Un-official 32-bit alpine linux image, 
s12v/newrelic-elasticsearch, 6, New Relic plugin for elasticsearch monitorin…, 
xqdocker/ubuntu-openjdk, 2, OpenJDK base on Ubuntu, 
jbthechamp/nodebb, 2, Mirror of NodeBB Master from NodeBB/NodeBB o…, 
iamklh/xbvr, 2, "latest" is official release version 0.3.24 …, 
ozzyjohnson/boinc, 3, Quickly run a BOINC project by passing a pro…, 
geerlingguy/awx_web, 11, DEPRECATED Ansible AWX Web image built from …, 
erdiko/docker-compose, 2, Image with Docker and Compose to help with y…, 
jordimartin/mmock, 3, Mmock is a testing and fast prototyping tool…, 
ibmcom/secure-gateway-client, 6, IBM Cloud Secure Gateway Client, 
gwuhaolin/livego, 5, https://github.com/gwuhaolin/livego, 
emeraldsquad/sonar-scanner, 6, Image containing JDK and Sonar-scanner cli, 
mlabouardy/hystrix-dashboard, 4, The Hystrix Dashboard allows you to monitor …, 
jatzoo/jrivermc25, 2, Unofficial docker image for JRiver Media Cen…, 
zabbix/zabbix-build-mysql, 2, Zabbix build base (MySQL), 
erikdubbelboer/phpredisadmin, 35, Simple web interface to manage Redis databas…, 
juglans/finereport, 2, Build finereport image from github., 
vault, 958, Vault is a tool for securely accessing secre…, [OK]
ue0092/tibero, 3, , 
exozet/php-fpm, 3, This is an extended docker php fpm image, ba…, 
snyk/kubernetes-monitor, 2, , 
cgifr/lino, 2, Large Input Narrow Output - LINO is a simple…, 
oaooa/pichome, 3, 欧奥PicHome是用于欧奥图文档系统的图片展示门…, 
vitess/lite, 4, A slimmed down version of Vitess containers,…, 
gazgeek/springboot-helloworld, 2, , 
pkrusche/hap.py, 6, Pre-built Docker images for hap.py , 
bobjac/java-windows-docker, 3, , 
rumaio/ruma-dev, 4, Development image for Ruma., 
balenalib/armv7hf-alpine, 5, This image is part of the balena.io base ima…, 
femtopixel/google-lighthouse-puppeteer, 4, Google Lighthouse + Puppeteer - Docker Image, 
canal/osbase, 3, centos6.10 + jdk1.8, 
cnsoluciones/novnc-winbox, 3, noVNC Winbox, 
ttssdev/appflow, 2, Multitenant environment automation., 
zymlabs/kubernetes-endpoint-proxy, 3, An HAProxy for load balancing Kubernetes end…, 
camunda/operate, 6, Camunda Operate, 
niis/xroad-security-server, 3, This repository contains X-Road data exchang…, 
jaymoulin/plex, 55, Plex Media Server Docker container (Multiarc…, 
kwzr/neural-style, 4, A Neural Algorithm of Artistic Style by Torch, 
bayesimpact/react-base, 25, Base image for Bayes dev projects using Reac…, 
obedmr/keystone, 2, This provides a ready-to-use OpenStack (Pike…, 
outcoldsolutions/collectorfordocker, 4, Collects logs, metrics, events from Docker c…, 
jahia/jahia, 2, https://github.com/Jahia/docker-jahia, 
pierky/bird, 5, BIRD from GitHub, 
vertica/vertica-k8s, 3, Vertica is an analytics warehouse with built…, 
jtgasper3/shibboleth-idp, 11, A Shibboleth IdP appliance (or base image re…, 
mvance/unbound-rpi, 9, Run Unbound with latest version of OpenSSL o…, 
mileschou/phalcon, 56, Dockerized Phalcon, 
gdude2002/glowstone, 4, , 
gerbera/gerbera, 11, Gerbera Media Server, 
orchardup/mysql, 42, , 
ledgersmb/ledgersmb, 8, Official Docker image for LedgerSMB, a doubl…, 
joweisberg/phpvirtualbox, 4, Docker phpVirtualBox is a web interface that…, 
sue445/heroku-cli, 3, Dockerfile for heroku deployment, 
fjctp/armhf-seafile-server, 2, OUTDATED, please see https://hub.docker.com/…, 
uleenucks/kippo-graph, 2, , 
o2multi/apache-php5.6, 4, Ubuntu-Apache2-PHP 5.6, 
neverleave0916/yolo_v4, 7, Install all the Dependencies that you need t…, 
idinteraction/object-tracking, 3, The IDInteraction Object Tracking Pipeline., 
kurioscurious/docker-stubby, 2, Docker image with GetDNS's Stubby and Quad9 …, 
jitesoft/tesseract-ocr, 19, Tesseract OCR 4, 
rodolpheche/wiremock, 49, [DEPRECATED] Use the official wiremock/wirem…, 
acaleph/consul-alerts, 6, , 
akaunting/akaunting, 12, Free and Online Accounting Software, 
aerokube/moon, 2, , 
gboeing/osmnx, 13, Retrieve, model, analyze, and visualize Open…, 
jc21/rpmbuild-centos6, 2, Docker container for building RPMs for Cento…, 
didstopia/msbuild, 2, Aims to provide msbuild (.NET) functionality…, 
rvip/scss-lint, 2, A tool to help keep your SCSS files clean an…, 
bnutz/min-ubuntu-dropbox, 2, A Minimal Ubuntu Docker container for a head…, 
dokken/centos-7, 2, CentOS 7 image for kitchen-dokken, 
zixia/simple-mail-forwarder, 71, Simplest and Smallest Email Forward Service, 
gisops/valhalla, 6, Valhalla routing engine images built from ht…, 
hotio/nzbhydra2, 16, Please visit https://hotio.dev for documenta…, 
sequenceiq/ngrokd, 21, , 
opengisch/qgis-server-webclient, 3, , 
marsmensch/zcash-cpuminer, 8, A Dockerized zcash cpuminer for Windows, Lin…, 
uzer/ninjamserver, 6, Alpine-based lightweight ninjam server image., 
spoonest/clickhouse-tabix-web-client, 11, tabix: https://github.com/tabixio/tabix, 
zokeber/mongodb, 2, MongoDB Dockerfile in CentOS 7, 
jujhars13/docker-imagemagick, 4, Ubuntu 14.04 with ImageMagick, no fluff, 
vimagick/fteproxy, 2, , 
lpicanco/sonar, 2, Docker container with Sonar and embedded MyS…, 
drwolf/alfresco-42f, 6, Alfresco Community Edition 4.2.f ready for d…, 
doudou34/tor-server, 5, A tor server to create a tor relay, 
