name, starcount, description, official
soellman/collectd, 3, , 
c0ny1/hackademic, 2, https://github.com/Hackademic/hackademic, 
google/drone-firebase, 2, Drone plugin to deploy a project to Firebase, 
ralfbs/httrack, 3, Lightweight docker implementation of the web…, 
mcfongtw/rpi-cassandra, 4, Deployment of Apache Cassandra on Raspberry …, 
linuxserver/beets, 131, A Beets container, brought to you by LinuxSe…, 
nvaitc/ai-lab, 10, All-in-one AI development container for rapi…, 
maxduke/aria2-with-ariang, 3, Docker image for Aria2 with AriaNG, 
gksoftware/yq, 4, yq is a portable command-line YAML processor…, 
rancher/healthcheck, 3, , 
bofm/oracle12c, 26, Docker image for Oracle Database, 
cyrilix/subsonic, 18, Subsonic media streamer, 
vguardiola/gentoo-nginx, 3, Gentoo Nginx, 
kwarc/ssh-rsync, 2, Running an sshd daemon for a single user wit…, 
hmbsbige/bilibilimangaautoclockin, 3, Bilibili 漫画自动签到, 
imelnik/rpi-python3-tensorflow-opencv, 3, Docker image for Raspberry Pi Machine Learni…, 
aler9/rtsp-simple-server, 21, RTSP / RTMP / HLS server and proxy that allo…, 
jhipster/jhipster-registry, 58, JHipster Registry, based on Netflix Eureka a…, 
jumanjiman/aws, 4, awscli in a smallish container based on alpi…, 
amazon/amazon-ecs-network-sidecar, 3, Network sidecar container with SSH access an…, 
atlassian/crowd, 20, Atlassian Crowd for Server and Data Center d…, 
zveronline/sopds, 3, Simple OPDS server, 
ugeek/taskboard, 2, A Kanban inspired app for keeping track of t…, 
zerotier/zerotier-synology, 8, Images to run ZeroTier One on Synology DiskS…, 
duluca/angular1.5-starter, 2, A batteries-included Mobile-First Angular 1.…, 
nykma/leanote-mongodb, 2, mongodb with Leanote.org seed data, 
spikerlabs/scala-sbt, 4,  , 
zewelor/bt-mqtt-gateway, 6, , 
seedboxes/pibox, 7, rtorrent client, rutorrent ui, cakebox strea…, 
fnichol/ngrok, 16, A Docker image for ngrok, introspected tunne…, 
osm2vectortiles/mapbox-studio, 5, mapbox-studio, 
pyouroboros/ouroboros, 103, Automatically update your running Docker con…, 
codelibs/fess, 14, [THIS REPO IS DEPRECATED] Fess is very power…, 
cubridci/cubridci, 3, This is a build and test environment image f…, 
mcgregorandrew/oracle-xe-11g, 2, Oracle image with password expiry time set t…, 
wodby/varnish, 6, Generic Varnish HTTP accelerator container i…, 
moers/mid-server, 8, ServiceNow MID Server, 
mwizner/sonarqube, 8, arm64 images of SonarQube community edition, 
tarent/openjdk-alpine-j2v8, 3, Alpine based OpenJDK 8 image with musl compi…, 
